INDEXING THE STACK
587631759 <- | -> 59
-1896613564 <- | -> 10
-1365022942 <- | -> 26
-1476736392 <- | -> 23
-1152929901 <- | -> 28
804655141 <- | -> 67
-1807119178 <- | -> 14
1317595981 <- | -> 79
-944789653 <- | -> 35
1896544167 <- | -> 97
1777103278 <- | -> 94
-1778334583 <- | -> 15
317550605 <- | -> 54
-1904543388 <- | -> 9
441129124 <- | -> 58
-1638365285 <- | -> 20
-981703594 <- | -> 34
249627946 <- | -> 53
-1122006108 <- | -> 29
1565225900 <- | -> 85
242620147 <- | -> 52
-1824241965 <- | -> 13
1731498535 <- | -> 91
-1737914700 <- | -> 18
196332637 <- | -> 51
-664955140 <- | -> 39
-1867515614 <- | -> 12
-1591114594 <- | -> 21
-2064731269 <- | -> 3
1380412975 <- | -> 80
-1031929987 <- | -> 32
-1214472461 <- | -> 27
-1954042327 <- | -> 6
-1924079519 <- | -> 7
-2121766274 <- | -> 1
1662143264 <- | -> 86
1732412700 <- | -> 92
425846607 <- | -> 57
1137842550 <- | -> 74
-356500649 <- | -> 46
-169360968 <- | -> 48
910495831 <- | -> 70
1019977621 <- | -> 72
1852586194 <- | -> 96
-1885814552 <- | -> 11
-844371243 <- | -> 37
782589957 <- | -> 65
-391685523 <- | -> 43
-2140019691 <- | -> 0
732084763 <- | -> 63
-131513895 <- | -> 49
1197694535 <- | -> 76
-382346653 <- | -> 44
803127650 <- | -> 66
1178267133 <- | -> 75
2071996561 <- | -> 99
-601582577 <- | -> 40
1043661421 <- | -> 73
740855038 <- | -> 64
-403421184 <- | -> 42
-1004237499 <- | -> 33
690013039 <- | -> 61
1964426361 <- | -> 98
929539750 <- | -> 71
1687570556 <- | -> 87
-488666574 <- | -> 41
1719270853 <- | -> 89
-1909593688 <- | -> 8
-2006363115 <- | -> 5
1733475265 <- | -> 93
-1111380750 <- | -> 30
1725030970 <- | -> 90
-1045557657 <- | -> 31
1428824128 <- | -> 83
1420797119 <- | -> 81
-2082266277 <- | -> 2
1427922550 <- | -> 82
-1704071003 <- | -> 19
-1421898671 <- | -> 24
-1542337704 <- | -> 22
1263791158 <- | -> 78
713739709 <- | -> 62
-1762852356 <- | -> 16
392909516 <- | -> 56
-2031593909 <- | -> 4
1496608062 <- | -> 84
-276273096 <- | -> 47
-942840850 <- | -> 36
-1401266319 <- | -> 25
338874884 <- | -> 55
-380176796 <- | -> 45
853283362 <- | -> 68
900833158 <- | -> 69
1208277324 <- | -> 77
1707242195 <- | -> 88
-705282350 <- | -> 38
-15471355 <- | -> 50
634973304 <- | -> 60
-1752088666 <- | -> 17
1826252492 <- | -> 95
